"id","solicitacao_id","cliente_id","prestador_id","nota","comentario","criado_em"
"200487","400487","600171","200712","4","Excelente profissional, super recomendo!","2026-01-01 11:42:26"
"200110","400110","600593","200359","4","","2026-01-01 15:18:58"
"200753","400753","600717","200005","5","Muito satisfeito com o resultado. Recomendo.","2026-01-01 16:33:18"
"200248","400248","600911","200826","5","Profissional sério e comprometido. Recomendo a todos.","2026-01-01 17:26:04"
"200405","400405","601072","200164","3","Foi satisfatório.","2026-01-01 19:39:33"
"200127","400127","600794","200001","5","Atencioso e caprichoso no trabalho. Voltarei a usar.","2026-01-01 19:54:47"
"200374","400374","600424","200923","5","Perfeito, amei!","2026-01-02 00:42:15"
"200096","400096","600259","200898","5","","2026-01-02 00:46:15"
"200245","400245","601095","200720","5","mt bom","2026-01-02 02:22:33"
"200503","400503","601030","200480","5","Resolveu tudo rapidinho e com muita qualidade.","2026-01-02 03:37:08"
"200947","400947","600711","200275","5","Profissional dedicado e competente. Nota 10!","2026-01-02 03:44:03"
"200977","400977","601291","200781","5","Adorei o resultado final! Muito profissional.","2026-01-02 10:53:21"
"200581","400581","601443","200525","5","Trabalho feito com muito cuidado e dedicação.","2026-01-02 10:55:08"
"200027","400027","600728","200725","2","Péssimo atendimento.","2026-01-02 15:53:53"
"200230","400230","600311","200633","3","Razoável, nada além do básico.","2026-01-02 17:14:58"
"200822","400822","601153","200263","5","Muito pontual e educado. Ficou perfeito!","2026-01-02 17:28:35"
"200238","400238","600548","200588","5","Trabalho impecável, superou minhas expectativas.","2026-01-02 18:50:18"
"200548","400548","600555","200651","5","Trabalho impecável, superou minhas expectativas.","2026-01-02 20:40:05"
"200561","400561","600880","200121","5","Cumpriu tudo o que prometeu. Excelente!","2026-01-02 21:03:38"
"200181","400181","600242","200572","3","Normal, sem nada a destacar.","2026-01-02 22:50:54"
"200841","400841","600314","200205","4","Incrível, superou tudo.","2026-01-03 00:43:18"
"200312","400312","600404","200536","5","Trabalho feito com muito cuidado e dedicação.","2026-01-03 00:53:05"
"200756","400756","601292","200067","2","Péssimo atendimento.","2026-01-03 01:33:26"
"200771","400771","601451","200750","5","Melhor profissional que já contratei nessa área.","2026-01-03 06:58:49"
"200532","400532","601473","200432","2","","2026-01-03 10:11:04"
"200011","400011","601309","200540","5","Profissional sério e comprometido. Recomendo a todos.","2026-01-03 10:28:42"
"200019","400019","601201","200091","5","Ótimo serviço! Ficou melhor do que esperava.","2026-01-03 11:47:16"
"200542","400542","601312","200921","5","Recomendo sem hesitar. Trabalho nota 10!","2026-01-03 15:51:40"
"200631","400631","601103","200409","5","Muito pontual e educado. Ficou perfeito!","2026-01-03 16:29:04"
"200369","400369","601146","200267","5","Muito pontual e educado. Ficou perfeito!","2026-01-03 18:16:50"
"200671","400671","601479","200022","5","Muito bom trabalho. Faria negócio de novo.","2026-01-04 00:03:44"
"200225","400225","600194","200310","5","Perfeito, amei!","2026-01-04 04:00:51"
"200463","400463","600751","200345","5","Serviço de ótima qualidade, voltarei a contratar.","2026-01-04 10:28:48"
"200327","400327","601370","200899","5","Melhor profissional que já contratei nessa área.","2026-01-04 18:41:33"
"200957","400957","600325","200289","3","Dentro do esperado.","2026-01-05 01:10:45"
"200655","400655","601101","200318","5","Muito pontual e educado. Ficou perfeito!","2026-01-05 01:24:09"
"200954","400954","601491","200924","1","Serviço mal feito, precisou refazer partes.","2026-01-05 02:11:32"
"200647","400647","600332","200159","5","Muito bom trabalho. Faria negócio de novo.","2026-01-05 04:20:02"
"200566","400566","600332","200809","5","Atencioso e caprichoso no trabalho. Voltarei a usar.","2026-01-05 04:48:06"
"200930","400930","600475","200266","5","Recomendo sem hesitar. Trabalho nota 10!","2026-01-05 08:04:07"
"200133","400133","601224","200561","5","Profissional sério e comprometido. Recomendo a todos.","2026-01-05 09:36:25"
"200588","400588","600915","200757","3","Normal, sem nada a destacar.","2026-01-05 09:37:05"
"200360","400360","600155","200912","3","Foi satisfatório.","2026-01-05 11:08:39"
"200803","400803","600911","200411","5","Muito bom trabalho. Faria negócio de novo.","2026-01-05 19:25:20"
"200081","400081","600501","200932","3","Serviço mediano, mas resolveu o problema.","2026-01-06 00:31:44"
"200842","400842","600223","200662","4","Incrível, superou tudo.","2026-01-06 01:56:13"
"200659","400659","601380","200391","5","Recomendo sem hesitar. Trabalho nota 10!","2026-01-06 08:34:09"
"200642","400642","601407","200174","5","Trabalho impecável, superou minhas expectativas.","2026-01-06 08:36:13"
"200039","400039","600924","200312","5","Incrível, superou tudo.","2026-01-06 11:41:31"
"200028","400028","601098","200387","2","Faltou profissionalismo.","2026-01-06 15:47:15"
"200082","400082","600023","200423","5","Melhor profissional que já contratei nessa área.","2026-01-06 19:34:35"
"200116","400116","601116","200168","4","Fez um serviço excelente com um ótimo preço.","2026-01-07 01:01:08"
"200140","400140","600184","200450","1","Serviço mal feito, precisou refazer partes.","2026-01-07 01:34:01"
"200097","400097","600333","200808","5","Profissional sério e comprometido. Recomendo a todos.","2026-01-07 06:29:14"
"200192","400192","600056","200456","4","Profissional sério e comprometido. Recomendo a todos.","2026-01-07 09:39:00"
"200465","400465","601100","200942","5","Fez um serviço excelente com um ótimo preço.","2026-01-07 18:34:07"
"200783","400783","601155","200084","5","Fez um serviço excelente com um ótimo preço.","2026-01-08 00:23:16"
"200296","400296","600389","200770","4","Excelente profissional, super recomendo!","2026-01-08 00:55:49"
"200958","400958","600510","200976","5","Profissional dedicado e competente. Nota 10!","2026-01-08 01:07:14"
"200691","400691","600549","200292","5","Serviço de ótima qualidade, voltarei a contratar.","2026-01-08 01:22:26"
"200080","400080","600399","200952","4","Atencioso e caprichoso no trabalho. Voltarei a usar.","2026-01-08 07:01:36"
"200956","400956","600570","200860","5","Trabalho feito com muito cuidado e dedicação.","2026-01-08 13:17:59"
"200213","400213","601276","200682","5","Profissional sério e comprometido. Recomendo a todos.","2026-01-08 16:08:41"
"200517","400517","600583","200077","3","","2026-01-09 02:44:16"
"200066","400066","601017","200752","3","Normal, sem nada a destacar.","2026-01-09 07:16:34"
"200714","400714","600578","200343","2","Serviço mal feito, precisou refazer partes.","2026-01-09 11:33:06"
"200560","400560","600069","200743","5","Profissional sério e comprometido. Recomendo a todos.","2026-01-09 11:35:08"
"200454","400454","600037","200179","5","Adorei o resultado final! Muito profissional.","2026-01-09 12:17:41"
"200023","400023","601099","200456","4","Adorei o resultado final! Muito profissional.","2026-01-09 13:39:36"
"200537","400537","601293","200283","4","Cumpriu tudo o que prometeu. Excelente!","2026-01-09 16:18:46"
"200524","400524","600504","200120","5","","2026-01-09 18:34:04"
"200875","400875","600814","200718","5","Muito pontual e educado. Ficou perfeito!","2026-01-09 22:13:58"
"200389","400389","600746","200891","5","Top demais!","2026-01-10 02:17:28"
"200180","400180","600637","200691","2","Não cumpriu o prazo acordado.","2026-01-10 02:36:27"
"200636","400636","600748","200732","3","Dentro do esperado.","2026-01-10 04:57:15"
"200439","400439","600557","200593","5","Muito bom mesmo!","2026-01-10 10:44:09"
"200613","400613","600156","200150","4","Ótimo serviço! Ficou melhor do que esperava.","2026-01-10 14:33:57"
"200740","400740","600772","200761","5","Cumpriu tudo o que prometeu. Excelente!","2026-01-10 15:35:19"
"200923","400923","600647","200235","5","Serviço de ótima qualidade, voltarei a contratar.","2026-01-10 18:09:01"
"200574","400574","601449","200964","5","Resolveu tudo rapidinho e com muita qualidade.","2026-01-10 19:44:27"
"200141","400141","600427","200692","1","Não recomendo, fui mal atendido.","2026-01-10 20:33:42"
"200746","400746","600647","200865","5","Trabalho feito com muito cuidado e dedicação.","2026-01-11 01:11:31"
"200003","400003","601099","200576","4","","2026-01-11 01:52:45"
"200695","400695","600737","200919","5","Profissional dedicado e competente. Nota 10!","2026-01-11 04:54:19"
"200440","400440","600198","200126","4","Adorei o resultado final! Muito profissional.","2026-01-11 06:33:39"
"200249","400249","601337","200478","4","Muito bom mesmo!","2026-01-11 12:23:18"
"200882","400882","600518","200573","5","Cumpriu tudo o que prometeu. Excelente!","2026-01-11 15:01:45"
"200059","400059","600544","200515","5","Profissional sério e comprometido. Recomendo a todos.","2026-01-11 15:54:23"
"200900","400900","601100","200612","1","Preço não condizente com a qualidade entregue.","2026-01-11 17:16:55"
