"id","usuario_id","descricao_perfil"
"200001","500001","Vigilante patrimonial com 2 anos de experiência e curso de formação atualizado. Atuação em condomínios e empresas."
"200002","500002","Professor de inglês fluente com experiência no exterior. Aulas para iniciantes, intermediários e avançados."
"200003","500003","Realizo pintura interna e externa, textura, grafiato e pintura epóxi para pisos. Orçamento sem compromisso."
"200004","500004","Vigilante armado certificado pela PF. Experiência em bancos, shoppings e transporte de valores."
"200005","500005","Trabalho como personal chef, preparando refeições saudáveis e gostosas para famílias e executivos."
"200006","500006","Profissional de limpeza residencial com 8 anos de experiência. Atendo com produtos de qualidade, pontualidade e discrição."
"200007","500007","Serviços de pintura com 2 anos de mercado. Atendo residências, escritórios e galpões industriais."
"200008","500008","Ofereço transporte executivo e escolar. Veículo próprio, ar-condicionado e CNH válida."
"200009","500009","Realizo formatação de computadores, instalação de sistemas e limpeza de vírus. Atendimento domiciliar rápido."
"200010","500010","Especialista em culinária brasileira e internacional. Preparo jantares especiais e buffet para eventos."
"200011","500011","Banho e tosa profissional a domicílio. Equipamentos próprios e produtos de qualidade para seu pet."
"200012","500012","Trabalho com construção civil e reformas em geral. Equipe experiente e materiais de qualidade."
"200013","500013","Trabalho com pintura predial, residencial e industrial. Uso materiais de primeira linha e garanto o serviço."
"200014","500014","Trabalho com manutenção elétrica predial e residencial há 5 anos. Preço acessível e serviço de qualidade."
"200015","500015","Trabalho com construção civil e reformas em geral. Equipe experiente e materiais de qualidade."
"200016","500016","Pet sitter e dog walker com 16 anos de experiência. Cuidado com amor e responsabilidade para cães e gatos."
"200017","500017","Motorista particular com 14 anos de habilitação categoria B e D. Pontual, discreto e conhecedor da cidade."
"200018","500018","Instalação de tomadas, lâmpadas, ventiladores, ar-condicionado e quadros elétricos. Serviço rápido e com garantia."
"200019","500019","Vigilante armado certificado pela PF. Experiência em bancos, shoppings e transporte de valores."
"200020","500020","Cozinheira profissional que atende residências, festas e empresas. Cardápio variado e sob medida."
"200021","500021","Diarista experiente com ótimas referências. Realizo faxina completa, lavagem de roupas e organização de ambientes."
"200022","500022","Adestrador de cães com certificação internacional. Correção de comportamento e obediência básica."
"200023","500023","Pintor profissional com 14 anos de experiência em residências e comércios. Acabamento impecável e prazo cumprido."
"200024","500024","Especialista em jardinagem orgânica e hortas urbanas. Crio espaços verdes bonitos e sustentáveis."
"200025","500025","Trabalho com hidráulica residencial e comercial. Atendo emergências 24h e cobro preço justo pelo serviço."
"200026","500026","Pintura imobiliária completa: preparação de superfície, massa corrida, selador e tinta de qualidade. Resultado garantido."
"200027","500027","Professor de educação física e personal trainer. Aulas de natação, musculação e condicionamento físico."
"200028","500028","Doceira profissional especializada em bolos, tortas e doces finos para casamentos e eventos."
"200029","500029","Motorista particular disponível em tempo integral. Habilitação E, experiência com vans e micro-ônibus."
"200030","500030","Especialista em detecção de vazamentos e reparos de tubulação sem quebra. Tecnologia e experiência de 14 anos."
"200031","500031","Jardineiro com formação técnica em paisagismo. Atendo residências, empresas e condomínios."
"200032","500032","Pintura imobiliária completa: preparação de superfície, massa corrida, selador e tinta de qualidade. Resultado garantido."
"200033","500033","Pet sitter e dog walker com 9 anos de experiência. Cuidado com amor e responsabilidade para cães e gatos."
"200034","500034","Limpeza residencial especializada em apartamentos. Atendo com produtos inclusos e horário flexível."
"200035","500035","Suporte técnico em TI para empresas e residências. Configuração de redes, servidores e equipamentos."
"200036","500036","Serviços de pintura com 12 anos de mercado. Atendo residências, escritórios e galpões industriais."
"200037","500037","Pintura imobiliária completa: preparação de superfície, massa corrida, selador e tinta de qualidade. Resultado garantido."
"200038","500038","Assistência técnica para computadores, impressoras e periféricos. Orçamento gratuito e serviço rápido."
"200039","500039","Trabalho com hidráulica residencial e comercial. Atendo emergências 24h e cobro preço justo pelo serviço."
"200040","500040","Pintura imobiliária completa: preparação de superfície, massa corrida, selador e tinta de qualidade. Resultado garantido."
"200041","500041","Motorista de aplicativo e particular. Atendo aeroporto, hospitais e viagens intermunicipais."
"200042","500042","Técnico certificado em redes e segurança da informação. Configuração de firewalls, VPN e backup em nuvem."
"200043","500043","Realizo reformas completas: banheiros, cozinhas, fachadas e ampliações. Orçamento detalhado e prazo definido."
"200044","500044","Motorista experiente para executivos e eventos. Veículo próprio de alto padrão e total sigilo."
"200045","500045","Pet sitter e dog walker com 5 anos de experiência. Cuidado com amor e responsabilidade para cães e gatos."
"200046","500046","Encanador certificado com experiência em projetos residenciais e comerciais. Trabalho limpo e garantido."
"200047","500047","Veterinário com visita domiciliar para consultas, vacinas e exames básicos. Atendimento carinhoso."
"200048","500048","Especialista em manutenção de notebooks e desktops. Troca de tela, teclado, HD e memória com garantia."
"200049","500049","Motorista de aplicativo e particular. Atendo aeroporto, hospitais e viagens intermunicipais."
"200050","500050","Diarista experiente com ótimas referências. Realizo faxina completa, lavagem de roupas e organização de ambientes."
"200051","500051","Vigilante armado certificado pela PF. Experiência em bancos, shoppings e transporte de valores."
"200052","500052","Adestrador de cães com certificação internacional. Correção de comportamento e obediência básica."
"200053","500053","Especialista em jardinagem orgânica e hortas urbanas. Crio espaços verdes bonitos e sustentáveis."
"200054","500054","Cuidador de idosos com 10 anos de experiência. Acompanhamento, higiene, medicação e lazer com carinho."
"200055","500055","Ofereço transporte executivo e escolar. Veículo próprio, ar-condicionado e CNH válida."
